Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Datetime,,,,,
2025-03-27 13:30:00+00:00,221.49949645996094,221.66000366210938,221.0500030517578,221.3300018310547,867365
2025-03-27 13:31:00+00:00,221.79910278320312,222.10000610351562,221.4250030517578,221.50999450683594,191723
2025-03-27 13:32:00+00:00,221.50999450683594,221.72999572753906,221.3000030517578,221.69000244140625,103103
2025-03-27 13:33:00+00:00,221.0800018310547,221.39059448242188,220.96499633789062,221.39059448242188,99942
2025-03-27 13:34:00+00:00,221.23170471191406,221.42999267578125,221.02000427246094,221.0500030517578,99599
2025-03-27 13:35:00+00:00,221.2050018310547,221.40980529785156,220.9600067138672,221.25999450683594,106730
2025-03-27 13:36:00+00:00,220.6750030517578,221.22000122070312,220.63009643554688,221.2050018310547,115250
2025-03-27 13:37:00+00:00,221.1199951171875,221.1199951171875,220.5601043701172,220.68499755859375,109059
2025-03-27 13:38:00+00:00,221.23500061035156,221.38999938964844,221.05250549316406,221.16000366210938,112514
2025-03-27 13:39:00+00:00,221.3000030517578,221.38999938964844,221.1999969482422,221.26499938964844,102312
2025-03-27 13:40:00+00:00,221.02999877929688,221.38999938964844,220.9813995361328,221.30499267578125,86584
2025-03-27 13:41:00+00:00,221.30999755859375,221.3800048828125,220.98500061035156,221.00999450683594,85664
2025-03-27 13:42:00+00:00,221.2100067138672,221.5399932861328,221.2100067138672,221.32000732421875,135215
2025-03-27 13:43:00+00:00,221.26499938964844,221.30499267578125,221.07000732421875,221.1750030517578,128519
2025-03-27 13:44:00+00:00,221.3800048828125,221.41000366210938,221.05999755859375,221.27000427246094,108261
2025-03-27 13:45:00+00:00,221.39500427246094,221.5749969482422,221.35000610351562,221.38999938964844,124388
2025-03-27 13:46:00+00:00,221.1699981689453,221.55999755859375,221.02999877929688,221.3800048828125,107960
2025-03-27 13:47:00+00:00,221.0749969482422,221.19000244140625,220.9600067138672,221.16000366210938,54478
2025-03-27 13:48:00+00:00,220.9949951171875,221.17999267578125,220.94000244140625,221.0399932861328,74358
2025-03-27 13:49:00+00:00,221.07000732421875,221.1300048828125,220.91000366210938,220.97999572753906,83922
2025-03-27 13:50:00+00:00,221.1750030517578,221.27999877929688,220.9821014404297,221.0800018310547,85016
2025-03-27 13:51:00+00:00,221.10000610351562,221.22000122070312,221.07000732421875,221.1656036376953,62057
2025-03-27 13:52:00+00:00,221.2126007080078,221.3000030517578,221.0749969482422,221.0749969482422,74245
2025-03-27 13:53:00+00:00,221.0261993408203,221.22999572753906,221.0261993408203,221.18499755859375,65965
2025-03-27 13:54:00+00:00,221.4600067138672,221.78990173339844,220.97500610351562,221.02000427246094,228843
2025-03-27 13:55:00+00:00,221.85000610351562,221.8699951171875,221.50999450683594,221.50999450683594,109763
2025-03-27 13:56:00+00:00,221.9149932861328,222.0749969482422,221.8300018310547,221.86500549316406,89745
2025-03-27 13:57:00+00:00,221.7100067138672,221.91000366210938,221.65750122070312,221.88250732421875,69206
2025-03-27 13:58:00+00:00,221.60000610351562,221.80499267578125,221.5355987548828,221.6999969482422,54337
2025-03-27 13:59:00+00:00,221.55499267578125,221.67999267578125,221.5399932861328,221.6300048828125,52187
2025-03-27 14:00:00+00:00,221.5399932861328,221.69000244140625,221.50999450683594,221.5800018310547,114346
2025-03-27 14:01:00+00:00,221.27999877929688,221.5399932861328,221.24000549316406,221.52000427246094,69549
2025-03-27 14:02:00+00:00,221.35000610351562,221.46499633789062,221.27000427246094,221.27999877929688,56925
2025-03-27 14:03:00+00:00,221.36000061035156,221.4600067138672,221.3000030517578,221.35499572753906,51164
